lon,lat,weather_id,description,icon,base,temp,feels_like,temp_min,temp_max,pressure,humidity,visibility,speed,deg,all,dt,type,sys_id,country,sunrise,sunset,timezone,id,name,cod
-74.006,40.7143,701,mist,50d,stations,282.61,280.96,280.34,285.36,1016,92,9656,3.09,60,100,1672935146,2,2008101,US,1672921208,1672954928,-18000,5128581,New York,200
-118.2437,34.0522,701,mist,50d,stations,285.86,285.64,284.86,287.1,1020,94,2816,7.72,150,100,1672935417,1,3694,US,1672930741,1672966636,-28800,5368361,Los Angeles,200
-87.65,41.85,701,mist,50d,stations,273.2,268.22,272.33,274.15,1012,88,4828,5.14,260,100,1672935452,2,2005153,US,1672924692,1672957996,-21600,4887398,Chicago,200
-95.3633,29.7633,800,clear sky,01d,stations,289.34,288.63,286.62,292.03,1024,62,10000,2.57,50,0,1672935263,2,2001415,US,1672924648,1672961743,-21600,4699066,Houston,200
-112.074,33.4484,803,broken clouds,04d,stations,284.53,283.53,282.87,286.82,1019,69,10000,4.12,90,75,1672935430,2,2034302,US,1672929172,1672965243,-25200,5308655,Phoenix,200
-75.1638,39.9523,804,overcast clouds,04d,stations,288.37,287.49,285.8,289.83,1014,59,10000,3.6,10,100,1672935525,2,2037403,US,1672921350,1672955342,-18000,4560349,Philadelphia,200
-98.4936,29.4241,800,clear sky,01d,stations,290.88,289.47,287.41,292.86,1025,29,10000,2.57,330,0,1672935521,2,2003611,US,1672925354,1672962540,-21600,4726206,San Antonio,200
-117.1573,32.7153,701,mist,50d,stations,287.1,286.8,285.84,288.04,1018,86,10000,6.69,150,100,1672935456,2,2005032,US,1672930286,1672966569,-28800,5391811,San Diego,200
-96.7836,32.7668,803,broken clouds,04d,stations,283.03,282.15,280.85,284.73,1027,47,10000,2.06,250,75,1672935192,2,2075302,US,1672925404,1672961670,-21600,4684904,Dallas,200
-121.895,37.3394,500,light rain,10d,stations,285.73,285.24,284.46,287.08,1009,84,10000,5.14,170,100,1672935434,2,2004102,US,1672932125,1672967005,-28800,5392171,San Jose,200
-97.7431,30.2672,800,clear sky,01d,stations,285.91,284.7,284.21,287.74,1026,56,10000,4.63,20,0,1672935393,2,2003218,US,1672925287,1672962247,-21600,4671654,Austin,200
-81.6556,30.3322,803,broken clouds,04d,stations,294.42,294.64,292.82,295.4,1022,78,10000,3.09,270,75,1672935405,2,2037733,US,1672921434,1672958376,-18000,4160021,Jacksonville,200
2.3488,48.8534,300,light intensity drizzle,09n,stations,285.95,285.61,284.82,286.58,1024,89,10000,6.17,240,100,1672935184,2,2041230,FR,1672904612,1672934864,3600,2988507,Paris,200
4.5833,45.75,804,overcast clouds,04n,stations,282.25,282.25,281.87,283.18,1027,90,10000,1.05,322,100,1672935363,2,2007821,FR,1672903347,1672935055,3600,2996943,Arrondissement de Lyon,200
7.25,44.0,800,clear sky,01n,stations,278.83,277.89,278.16,280.47,1022,74,10000,1.49,23,5,1672935358,2,2072600,FR,1672902337,1672934785,3600,2990439,Arrondissement de Nice,200
5.5,43.3333,800,clear sky,01n,stations,286.98,286.19,285.29,287.33,1021,68,10000,0.45,279,0,1672935361,2,80238,FR,1672902623,1672935339,3600,2995468,Arrondissement de Marseille,200
-0.5805,44.8404,804,overcast clouds,04d,stations,286.3,285.81,286.3,286.67,1027,82,10000,1.03,0,100,1672935552,1,6450,FR,1672904391,1672936491,3600,3031582,Bordeaux,200
1.4437,43.6043,804,overcast clouds,04d,stations,285.11,284.22,284.71,285.24,1028,71,10000,2.06,320,100,1672935536,1,6467,FR,1672903651,1672936259,3600,2972315,Toulouse,200
7.743,48.5834,804,overcast clouds,04n,stations,285.26,284.51,283.71,286.19,1025,76,10000,1.03,0,100,1672935555,1,6595,FR,1672903250,1672933636,3600,2973783,Strasbourg,200
3.8772,43.6109,800,clear sky,01d,stations,289.11,288.38,287.91,289.86,1022,62,10000,4.63,300,0,1672935363,2,2038454,FR,1672903068,1672935673,3600,2992166,Montpellier,200
5.0167,47.3167,804,overcast clouds,04n,stations,285.96,285.59,284.84,286.0,1026,88,10000,2.57,190,100,1672935558,1,6586,FR,1672903598,1672934596,3600,3021372,Dijon,200
-1.5833,47.1667,804,overcast clouds,04d,stations,285.04,284.56,284.65,285.11,1025,87,10000,3.09,210,100,1672935558,1,6574,FR,1672905147,1672936217,3600,2990968,Arrondissement de Nantes,200
72.8479,19.0144,721,haze,50n,stations,299.14,299.14,299.14,299.14,1016,61,2100,1.54,350,4,1672935229,1,9052,IN,1672882968,1672922657,19800,1275339,Mumbai,200
77.2167,28.6667,701,mist,50n,stations,282.2,282.2,282.2,282.2,1024,93,1200,0.0,0,0,1672935172,1,9165,IN,1672883080,1672920448,19800,1273294,Delhi,200
77.6033,12.9762,802,scattered clouds,03n,stations,292.95,293.15,292.05,292.95,1022,83,6000,4.12,80,40,1672935175,1,9205,IN,1672881174,1672922168,19800,1277333,Bengaluru,200
78.4744,17.3753,721,haze,50n,stations,295.38,295.7,293.88,295.38,1021,78,4000,2.57,100,40,1672935280,1,9214,IN,1672881436,1672921488,19800,1269843,Hyderabad,200
72.6167,23.0333,711,smoke,50n,stations,292.17,291.22,292.17,292.17,1019,42,4000,2.57,40,0,1672935278,1,9049,IN,1672883485,1672922252,19800,1279233,Ahmedabad,200
80.2785,13.0878,701,mist,50n,stations,300.14,302.68,300.14,300.14,1016,78,5000,3.09,60,40,1672935230,1,9218,IN,1672880544,1672921514,19800,1264527,Chennai,200
88.3697,22.5697,721,haze,50n,stations,291.12,290.98,291.12,291.12,1019,77,2400,2.06,350,0,1672935552,1,9114,IN,1672879649,1672918524,19800,1275004,Kolkata,200
72.8333,21.1667,721,haze,50n,stations,297.14,296.98,297.14,297.14,1017,53,3000,3.09,40,15,1672935343,1,9071,IN,1672883215,1672922417,19800,1255364,Surat,200
151.2073,-33.8679,803,broken clouds,04n,stations,288.84,288.5,287.45,289.76,1010,78,10000,10.29,210,75,1672935474,2,2002865,AU,1672944666,1672996188,39600,2147714,Sydney,200
-80.6081,28.0836,801,few clouds,02d,stations,299.07,299.7,297.57,300.96,1021,76,10000,7.2,210,20,1672935577,2,2007578,US,1672920886,1672958421,-18000,4163971,Melbourne,200
153.0281,-27.4679,800,clear sky,01n,stations,293.83,294.15,292.54,294.59,1004,84,10000,3.6,210,0,1672935319,2,2005393,AU,1672945144,1672994836,36000,2174003,Brisbane,200
115.8333,-31.9333,800,clear sky,01n,stations,300.16,299.62,297.7,302.25,1003,31,10000,3.6,60,0,1672935352,2,63154,AU,1672953452,1673004386,28800,2063523,Perth,200
138.6,-34.9333,800,clear sky,01n,stations,290.17,289.68,287.08,291.05,1012,67,10000,6.17,110,0,1672935582,2,2001763,AU,1672947526,1672999381,37800,2078025,Adelaide,200
153.4333,-28.0,804,overcast clouds,04n,stations,293.72,294.05,293.02,294.82,1004,85,10000,6.17,210,100,1672935459,2,2005800,AU,1672944975,1672994810,36000,2165087,Gold Coast,200
149.1281,-35.2835,803,broken clouds,04n,stations,284.74,284.02,283.76,285.68,1014,79,10000,0.45,189,56,1672935503,2,2004200,AU,1672944942,1672996911,39600,2172517,Canberra,200
153.1094,-27.6392,804,overcast clouds,04n,stations,293.47,293.8,292.54,294.18,1000,86,10000,2.24,248,100,1672935561,2,2003774,AU,1672945101,1672994839,36000,7281838,Logan City,200
151.7765,-32.9272,500,light rain,10n,stations,289.32,289.24,288.14,290.77,1009,86,10000,3.09,220,100,1672935305,2,2009459,AU,1672944673,1672995908,39600,2155472,Newcastle,200
150.8833,-34.4333,803,broken clouds,04n,stations,289.0,288.81,287.0,289.86,1011,83,10000,7.35,211,82,1672935330,2,2033627,AU,1672944656,1672996354,39600,2171507,Wollongong,200
-80.3127,43.3601,804,overcast clouds,04d,stations,274.95,271.0,274.39,276.38,1011,93,10000,4.12,210,100,1672935361,2,2011605,CA,1672923222,1672955943,-18000,5913695,Cambridge,200
-4.2576,55.8652,803,broken clouds,04n,stations,283.41,282.82,282.75,284.28,999,89,4400,7.72,190,75,1672935593,2,2041066,GB,1672908356,1672934291,0,2648579,Glasgow,200
-0.1257,51.5085,802,scattered clouds,03n,stations,285.69,285.11,284.42,286.48,1017,81,10000,4.63,230,40,1672935394,2,2075535,GB,1672905922,1672934741,0,2643743,London,200
-3.1965,55.9521,502,heavy intensity rain,10n,stations,282.93,280.33,279.85,284.29,1002,89,7000,5.36,261,75,1672935597,2,2038102,GB,1672908135,1672934003,0,2650225,Edinburgh,200
-3.18,51.48,803,broken clouds,04n,stations,284.75,284.29,284.02,286.2,1015,89,10000,5.14,230,75,1672935599,2,2013467,GB,1672906647,1672935483,0,2653822,Cardiff,200
-2.2374,53.4809,803,broken clouds,04n,stations,284.49,283.85,283.86,285.58,1010,83,10000,5.14,200,75,1672935540,2,2013239,GB,1672907034,1672934643,0,2643123,Manchester,200
-2.9779,53.4106,802,scattered clouds,03n,stations,284.8,284.24,283.7,286.09,1008,85,10000,6.17,190,40,1672935602,2,2008599,GB,1672907189,1672934844,0,2644210,Liverpool,200
-5.9333,54.5833,803,broken clouds,04n,stations,285.01,284.55,283.92,285.05,1002,88,10000,7.72,220,75,1672935454,1,1376,GB,1672908292,1672935160,0,2655984,Belfast,200
-2.3591,51.3779,804,overcast clouds,04n,stations,285.01,284.6,284.17,285.72,1016,90,10000,6.9,214,100,1672935604,2,2033887,GB,1672906421,1672935315,0,2656173,Bath,200
-1.256,51.7522,803,broken clouds,04n,stations,284.13,283.63,283.55,285.23,1016,90,10000,6.69,220,75,1672935606,2,2032458,GB,1672906265,1672934941,0,2640729,Oxford,200
55.3047,25.2582,800,clear sky,01n,stations,297.69,297.69,296.29,298.11,1019,57,10000,2.57,50,0,1672935475,1,7537,AE,1672887908,1672926141,14400,292223,Dubai,200
54.3667,24.4667,800,clear sky,01n,stations,295.95,296.04,294.8,298.21,1019,67,10000,1.03,30,0,1672935424,2,2043159,AE,1672888037,1672926462,14400,292968,Abu Dhabi,200
